Estado,Temperatura,Humedad,Costo_Alojamiento,Costo_Transporte,Dias_Promedio,Tiempo_Traslado
Aguascalientes,24,45,900,500,3,4
Baja California,28,40,1200,1500,5,24
Baja California Sur,30,50,1800,2000,5,28
Campeche,29,70,1100,1300,4,12
Chiapas,26,80,800,1200,5,14
Chihuahua,22,35,950,1400,4,10
Ciudad de Mexico,20,60,1300,300,3,1
Coahuila,27,30,900,1200,4,9
Colima,28,65,1400,1000,4,6
Durango,23,40,850,1100,4,8
Estado de Mexico,19,55,1000,200,3,1
Guanajuato,24,50,950,400,3,3
Guerrero,30,75,1500,900,5,6
